paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
1075,calcium,C0006675,Pharmacologic Substance,INTERACTS_WITH,calmodulin subunit,C0006772,"Amino Acid, Peptide, or Protein",False,True
1075,calcium,C0006675,Pharmacologic Substance,CAUSES,phosphorylase kinase b,C0031713,"Amino Acid, Peptide, or Protein",False,True
1075,sarcoplasmic reticulum,C0036226,Cell Component,LOCATION_OF,calcium,C0006675,Pharmacologic Substance,False,True
1079,glucose,C0017725,Organic Chemical,IS_A,monosaccharide,C0026492,Organic Chemical,False,True
1079,galactose,C0016945,Organic Chemical,PART_OF,glycosylated proteins,C5690868,"Amino Acid, Peptide, or Protein",False,True
1089,hyperuricemia,C0740394,Disease or Syndrome,RESULT_OF,amp,C0001465,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
1094,aldose reductase,C0002003,"Amino Acid, Peptide, or Protein",PRODUCES,sorbitol,C0037688,Organic Chemical,False,True
1094,sorbitol dehydrogenase,C0020809,"Amino Acid, Peptide, or Protein",PRODUCES,fructose,C0016745,Organic Chemical,False,True
1094,sperm cells,C0037868,Cell,USES,fructose,C0016745,Organic Chemical,False,True
1099,galactokinase,C0016937,"Amino Acid, Peptide, or Protein",PRODUCES,galactose 1-phosphate,C2611221,Molecular Function,False,True
1101,udp-glucose,C0041986,"Nucleic Acid, Nucleoside, or Nucleotide",PRODUCES,udp-galactose,C2246921,Molecular Function,False,True
1109,lactose synthase,C0022952,"Amino Acid, Peptide, or Protein",PRODUCES,udp,C0041986,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
1109,protein a,C0038164,"Amino Acid, Peptide, or Protein",IS_A,β-d-galactosyltransferase,C0016964,"Amino Acid, Peptide, or Protein",False,True
1109,mammary gland,C0929301,"Body Part, Organ, or Organ Component",LOCATION_OF,protein b,C0377800,"Amino Acid, Peptide, or Protein",False,True
1112,fructokinase,C0060764,"Amino Acid, Peptide, or Protein",PRODUCES,fructose 1-phosphate,C0016762,"Amino Acid, Peptide, or Protein",False,True
1112,aldolase b,C0001999,"Amino Acid, Peptide, or Protein",PRODUCES,dihydroxyacetone phosphate,C0012324,Organic Chemical,False,True
1112,aldolase b,C0001999,"Amino Acid, Peptide, or Protein",PRODUCES,glyceraldehyde,C0017854,Organic Chemical,False,True
1112,hyperglycemia,C0020456,Disease or Syndrome,CAUSES,sorbitol,C0037688,Organic Chemical,False,True
1112,galt,C0268151,Disease or Syndrome,PRODUCES,udp-galactose,C1156464,Molecular Function,False,True
1112,aldose reductase,C0002003,"Amino Acid, Peptide, or Protein",PRODUCES,galactitol,C0013283,Organic Chemical,False,True
1112,udp-hexose 4-epimerase,C0041990,"Amino Acid, Peptide, or Protein",PRODUCES,udp-galactose,C2246921,Molecular Function,False,True
1118,galactosemia,C0016952,Disease or Syndrome,AFFECTS,enzyme,C0014442,"Amino Acid, Peptide, or Protein",False,True
1118,mammary gland,C0929301,"Body Part, Organ, or Organ Component",LOCATION_OF,hormone,C0019932,Hormone,False,True
1119,galactosemia,C0016952,Disease or Syndrome,RESULT_OF,enzyme,C0014442,"Amino Acid, Peptide, or Protein",False,True
1127,galactosyltransferase,C0016964,"Amino Acid, Peptide, or Protein",PRODUCES,lactose,C0022949,Organic Chemical,False,True
1130,prolactin,C0033371,"Amino Acid, Peptide, or Protein",AFFECTS,protein b,C0033684,"Amino Acid, Peptide, or Protein",False,True
