paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
3223,rrna,C0035701,"Nucleic Acid, Nucleoside, or Nucleotide",PART_OF,ribosomes,C0035553,Cell Component,False,True
3229,rna pol,C0035678,"Amino Acid, Peptide, or Protein",PRODUCES,rna,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3233,core enzyme,C0014442,"Amino Acid, Peptide, or Protein",PART_OF,holoenzyme,C0282109,"Amino Acid, Peptide, or Protein",False,True
3233,sigma subunit,C0599220,"Amino Acid, Peptide, or Protein",PART_OF,holoenzyme,C0282109,"Amino Acid, Peptide, or Protein",False,True
3235,promoter,C0086860,"Nucleic Acid, Nucleoside, or Nucleotide",LOCATION_OF,transcription unit,C0040649,Genetic Function,False,True
3235,termination region,C1160149,Organism Function,LOCATION_OF,transcription unit,C0040649,Genetic Function,False,True
3238,holoenzyme,C0282109,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,consensus sequence,C0079160,Nucleotide Sequence,False,True
3240,polymerase,C1335439,"Amino Acid, Peptide, or Protein",PERFORMS,unwinding,C1819424,Genetic Function,False,True
3240,rna pol,C0035678,"Amino Acid, Peptide, or Protein",PRODUCES,transcript,C1519595,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3240,rna pol,C0035678,"Amino Acid, Peptide, or Protein",USES,nucleoside triphosphates,C0597106,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3244,rifampin,C0035608,Organic Chemical,DISRUPTS,transcription initiation,C0589507,Mental Process,False,True
3244,rifampin,C0035608,Organic Chemical,TREATS,tuberculosis,C0041296,Disease or Syndrome,False,True
3247,tf,C1333522,Gene or Genome,INTERACTS_WITH,dna,C0012854,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3251,nucleus,C0007610,Cell Component,LOCATION_OF,rna pol,C0035678,"Amino Acid, Peptide, or Protein",False,True
3252,rna polymerase i,C0035678,"Amino Acid, Peptide, or Protein",PRODUCES,5.8s rrna,C0035706,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3254,rna polymerase ii,C0035679,"Amino Acid, Peptide, or Protein",PRODUCES,nuclear precursors,C0028603,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3254,rna polymerase ii,C0035679,"Amino Acid, Peptide, or Protein",PRODUCES,ncrna,C0887909,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3254,rna polymerase ii,C0035679,"Amino Acid, Peptide, or Protein",PRODUCES,snorna,C0751969,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3254,rna polymerase ii,C0035679,"Amino Acid, Peptide, or Protein",PRODUCES,snrna,C0035709,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3254,rna polymerase ii,C0035679,"Amino Acid, Peptide, or Protein",PRODUCES,mirna,C1101610,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
3256,gtf,C5137536,Molecular Function,INTERACTS_WITH,rna pol ii,C0035679,"Amino Acid, Peptide, or Protein",False,True
3259,transcriptional activators,C0040649,Genetic Function,INTERACTS_WITH,dna,C0012854,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
