paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
4,amino acids,C0002520,"Amino Acid, Peptide, or Protein",PART_OF,mammalian proteins,C0759231,"Amino Acid, Peptide, or Protein",False,True
4,chemical modification,C3890228,Chemical Viewed Structurally,PRODUCES,nonstandard amino acids,C0002520,"Amino Acid, Peptide, or Protein",False,True
10,proline,C0033382,"Amino Acid, Peptide, or Protein",IS_A,amino acids,C0002520,"Amino Acid, Peptide, or Protein",False,True
11,proline,C0033382,"Amino Acid, Peptide, or Protein",DISRUPTS,globular proteins,C0178663,"Amino Acid, Peptide, or Protein",False,True
13,serine,C0036720,"Amino Acid, Peptide, or Protein",CONTAINS,polar hydroxyl group,C0700307,Inorganic Chemical,False,True
13,threonine,C0040005,"Amino Acid, Peptide, or Protein",CONTAINS,polar hydroxyl group,C0700307,Inorganic Chemical,False,True
13,tyrosine,C0041485,"Amino Acid, Peptide, or Protein",CONTAINS,polar hydroxyl group,C0700307,Inorganic Chemical,False,True
13,asparagine,C0003995,"Amino Acid, Peptide, or Protein",CONTAINS,carbonyl group,C0596259,Inorganic Chemical,False,True
13,asparagine,C0003995,"Amino Acid, Peptide, or Protein",CONTAINS,amide group,C1879694,Organic Chemical,False,True
13,glutamine,C0017797,"Amino Acid, Peptide, or Protein",CONTAINS,carbonyl group,C0596259,Inorganic Chemical,False,True
13,glutamine,C0017797,"Amino Acid, Peptide, or Protein",CONTAINS,amide group,C1879694,Organic Chemical,False,True
14,cysteine,C0010654,"Amino Acid, Peptide, or Protein",CONTAINS,sulfhydryl (−sh) group,C0038734,Organic Chemical,False,True
15,albumin,C0001924,"Amino Acid, Peptide, or Protein",IS_A,blood protein,C0005832,"Amino Acid, Peptide, or Protein",False,True
31,α-carbon,C0007009,Pharmacologic Substance,PART_OF,amino acid,C0002520,"Amino Acid, Peptide, or Protein",False,True
31,amino acids,C0002520,"Amino Acid, Peptide, or Protein",PART_OF,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,True
31,d-amino acids,C0002520,"Amino Acid, Peptide, or Protein",INGREDIENT_OF,antibiotics,C0003232,Antibiotic,False,True
31,d-amino acids,C0002520,"Amino Acid, Peptide, or Protein",INGREDIENT_OF,bacterial cell walls,C3826677,Cell Component,False,True
42,release,C0030685,Health Care Activity,CAUSES,formation,C0220781,Biologic Function,False,True
55,mobility pattern,C0080078,Clinical Attribute,INDICATES,diseases,C0012634,Disease or Syndrome,False,True
