paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
21,aspirin overdose,C0572036,Injury or Poisoning,OCCURS_IN,woman,C0043210,Population Group,True,True
23,drugs,C0013227,Pharmacologic Substance,PREVENTS,disease,C0012634,Disease or Syndrome,True,True
23,drugs,C0013227,Pharmacologic Substance,DIAGNOSES,disease,C0012634,Disease or Syndrome,True,True
23,drugs,C0013227,Pharmacologic Substance,TREATS,disease,C0012634,Disease or Syndrome,True,True
35,pill,C0009905,Pharmacologic Substance,TREATS,headache,C0018681,Sign or Symptom,True,True
40,dna-alkylating agents,C0002073,Pharmacologic Substance,DISRUPTS,cell division,C0007590,Cell Function,True,True
45,drug,C0013227,Pharmacologic Substance,INTERACTS_WITH,receptor site,C0005456,Receptor,True,True
45,enantiomers,C0599473,Chemical Viewed Structurally,INTERACTS_WITH,receptor molecule,C1173542,"Amino Acid, Peptide, or Protein",True,True
46,enantiomer,C0599473,Chemical Viewed Structurally,INTERACTS_WITH,receptor site,C0005456,Receptor,True,True
52,drugs,C0013227,Pharmacologic Substance,INTERACTS_WITH,receptor site,C0005456,Receptor,True,True
56,drug,C0013227,Pharmacologic Substance,TREATS,symptom,C1457887,Sign or Symptom,True,True
56,drug,C0013227,Pharmacologic Substance,TREATS,disease,C0012634,Disease or Syndrome,True,True
56,pharmacokinetic processes,C2350477,Natural Phenomenon or Process,AFFECTS,absorption,C2347023,Organism Function,True,True
56,pharmacokinetic processes,C2350477,Natural Phenomenon or Process,AFFECTS,elimination,C0221102,Physiologic Function,True,True
58,receptors,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,effectors,C4277620,"Amino Acid, Peptide, or Protein",True,True
60,antagonists,C0243076,Chemical Viewed Functionally,INTERACTS_WITH,receptor site,C0005456,Receptor,True,True
64,agonists,C0243192,Pharmacologic Substance,AFFECTS,ra,C0003873,Disease or Syndrome,True,True
66,drugs,C0013227,Pharmacologic Substance,INTERACTS_WITH,agonist,C2987634,Biologically Active Substance,True,True
66,inhibitors,C0243077,Chemical Viewed Functionally,INTERACTS_WITH,agonist,C2987634,Biologically Active Substance,True,True
67,antagonist,C0231491,Organ or Tissue Function,AFFECTS,ra,C0003873,Disease or Syndrome,True,True
72,formation,C0220781,Biologic Function,PROCESS_OF,ra–d,C0003873,Disease or Syndrome,True,True
76,therapeutics,C0087111,Therapeutic or Preventive Procedure,USES,drug,C0013227,Pharmacologic Substance,True,True
77,topical application,C0683174,Therapeutic or Preventive Procedure,USES,anti-inflammatory agent,C0003209,Pharmacologic Substance,True,True
77,tissues,C0040300,Tissue,PART_OF,intestine,C0021853,"Body Part, Organ, or Organ Component",True,True
77,capillaries,C0006901,"Body Part, Organ, or Organ Component",TRAVERSES,brain,C0006104,"Body Part, Organ, or Organ Component",True,True
79,drug vehicles,C0042444,Biomedical or Dental Material,AFFECTS,transport,C0005528,Cell Function,True,True
80,endothelial lining,C0014257,Tissue,PART_OF,blood vessels,C0005847,"Body Part, Organ, or Organ Component",True,True
81,capillaries,C0006901,"Body Part, Organ, or Organ Component",PART_OF,brain,C0006104,"Body Part, Organ, or Organ Component",True,True
81,capillaries,C0006901,"Body Part, Organ, or Organ Component",PART_OF,testes,C0021358,"Body Part, Organ, or Organ Component",True,True
83,electrical fields,C0337037,Natural Phenomenon or Process,AFFECTS,flux,C2348693,Natural Phenomenon or Process,True,True
97,weak base,C0178499,Chemical Viewed Functionally,INTERACTS_WITH,proton,C0033727,"Element, Ion, or Isotope",True,True
102,proton,C0033727,"Element, Ion, or Isotope",INTERACTS_WITH,electrons,C0013852,"Element, Ion, or Isotope",True,True
112,application,C0185125,Therapeutic or Preventive Procedure,USES,drugs,C0013227,Pharmacologic Substance,True,True
114,drugs,C0013227,Pharmacologic Substance,TREATS,lethal diseases,C0012634,Disease or Syndrome,True,True
118,drugs,C0013227,Pharmacologic Substance,TREATS,human diseases,C0162534,Disease or Syndrome,True,True
119,anti-infective drugs,C0003204,Pharmacologic Substance,AFFECTS,infectious organisms,C0009450,Disease or Syndrome,True,True
119,hypoglycemic drugs,C0020616,Pharmacologic Substance,CAUSES,lower blood sugar,C0020615,Disease or Syndrome,True,True
120,antimicrobial sulfonamides,C1136254,Pharmacologic Substance,CAUSES,metabolic acidosis,C0220981,Pathologic Function,True,True
120,drugs,C0013227,Pharmacologic Substance,TREATS,infection,C0009450,Disease or Syndrome,True,True
120,drugs,C0013227,Pharmacologic Substance,TREATS,hypertension,C0020538,Disease or Syndrome,True,True
120,good drugs,C0018938,Pharmacologic Substance,TREATS,diseases,C0012634,Disease or Syndrome,True,True
124,antihypertensive drug,C0003364,Pharmacologic Substance,TREATS,hypertension,C0020538,Disease or Syndrome,True,True
124,antihypertensive drug,C0003364,Pharmacologic Substance,AFFECTS,blood pressure,C0005823,Organism Function,True,True
127,chemicals,C0220806,Chemical,CAUSES,toxic,C0600688,Injury or Poisoning,True,True
127,toxic,C0600688,Injury or Poisoning,OCCURS_IN,individuals,C0027361,Population Group,True,True
142,diseases,C0012634,Disease or Syndrome,AFFECTS,pharmacokinetics,C0031327,Physiologic Function,True,True
142,drugs,C0013227,Pharmacologic Substance,AFFECTS,pharmacokinetics,C0031327,Physiologic Function,True,True
142,diseases,C0012634,Disease or Syndrome,AFFECTS,concentrations,C0086045,Mental Process,True,True
142,drugs,C0013227,Pharmacologic Substance,AFFECTS,concentrations,C0086045,Mental Process,True,True
142,pregnancy,C0032961,Organism Function,AFFECTS,pharmacokinetics,C0031327,Physiologic Function,True,True
156,thalidomide,C0039736,Organic Chemical,CAUSES,birth defect,C0000768,Congenital Abnormality,True,True
156,drug,C0013227,Pharmacologic Substance,DISRUPTS,fetus,C0015965,Embryonic Structure,True,True
156,immunoregulatory agent,C0005525,Pharmacologic Substance,TREATS,leprosy,C0023343,Disease or Syndrome,True,True
162,drug,C0013227,Pharmacologic Substance,CAUSES,toxicities,C0600688,Injury or Poisoning,True,True
169,drug,C0013227,Pharmacologic Substance,CAUSES,drug-induced events,C1320835,Pathologic Function,True,True
169,toxicities,C0600688,Injury or Poisoning,OCCURS_IN,patients,C0030705,Patient or Disabled Group,True,True
175,adverse events,C0877248,Pathologic Function,OCCURS_IN,patients,C0030705,Patient or Disabled Group,True,True
175,drug,C0013227,Pharmacologic Substance,CAUSES,adverse events,C0877248,Pathologic Function,True,True
175,drug,C0013227,Pharmacologic Substance,CAUSES,adverse drug reactions,C0041755,Pathologic Function,True,True
177,drugs,C0013227,Pharmacologic Substance,TREATS,diseases,C0012634,Disease or Syndrome,True,True
178,drugs,C0013227,Pharmacologic Substance,TREATS,rare disease,C0678236,Disease or Syndrome,True,True
178,disease,C0012634,Disease or Syndrome,OCCURS_IN,persons,C0027361,Population Group,True,True
178,orphan drugs,C0013232,Pharmacologic Substance,TREATS,diseases,C0012634,Disease or Syndrome,True,True
182,therapeutics,C0087111,Therapeutic or Preventive Procedure,USES,drugs,C0013227,Pharmacologic Substance,True,True
182,older drug therapies,C0013216,Therapeutic or Preventive Procedure,USES,drugs,C0013227,Pharmacologic Substance,True,True
218,sodium bicarbonate,C0074722,Organic Chemical,CAUSES,alkalosis,C0002063,Disease or Syndrome,True,True
221,receptor,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,drug,C0013227,Pharmacologic Substance,True,True
229,receptors,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,antagonists,C0243076,Chemical Viewed Functionally,True,True
229,agonists,C0243192,Pharmacologic Substance,AFFECTS,receptor function,C0920644,Molecular Function,True,True
231,receptors,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,drugs,C0013227,Pharmacologic Substance,True,True
233,receptor,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,anti-inflammatory agent,C0003209,Pharmacologic Substance,True,True
234,drugs,C0013227,Pharmacologic Substance,CAUSES,toxic effects,C0600688,Injury or Poisoning,True,True
245,antagonist,C0231491,Organ or Tissue Function,AFFECTS,response,C0871261,Organism Attribute,True,True
245,antagonist,C0231491,Organ or Tissue Function,AFFECTS,maximal response,C0871261,Organism Attribute,True,True
247,guanosine triphosphate,C0018353,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,trimeric g protein,C0752348,"Amino Acid, Peptide, or Protein",True,True
249,receptors,C0597357,"Amino Acid, Peptide, or Protein",AFFECTS,sensitivity,C0020517,Pathologic Function,True,True
252,agonist,C2987634,Biologically Active Substance,DISRUPTS,inhibition,C0021467,Mental Process,True,True
256,inhibitory effects,C1708997,Cell Function,AFFECTS,physiologic responses,C1327614,Physiologic Function,True,True
261,catecholamines,C0007412,Pharmacologic Substance,CAUSES,hypertension,C0020538,Disease or Syndrome,True,True
262,antagonists,C0243076,Chemical Viewed Functionally,AFFECTS,receptor activity,C1152633,Molecular Function,True,True
262,allosteric modulators,C4743782,Biologically Active Substance,AFFECTS,receptor activity,C1152633,Molecular Function,True,True
262,benzodiazepines,C0005064,Organic Chemical,INTERACTS_WITH,ion channels,C0022009,"Amino Acid, Peptide, or Protein",True,True
262,ivacaftor,C3264621,Organic Chemical,INTERACTS_WITH,cystic fibrosis transmembrane regulator (cftr) ion channel,C0056889,"Amino Acid, Peptide, or Protein",True,True
