paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
8,complexity,C1706241,Amino Acid Sequence,PROPERTY_OF,genome,C0017428,Gene or Genome,True,True
9,genes,C0017337,Gene or Genome,PRODUCES,rna,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
10,genome,C0017428,Gene or Genome,AFFECTS,gene expression,C0017262,Genetic Function,True,True
12,telomeres,C0085187,Cell Component,AFFECTS,replication,C0598312,Genetic Function,True,True
12,chromatin,C0008546,"Amino Acid, Peptide, or Protein",CONSISTS_OF,nucleosomes,C0028623,"Amino Acid, Peptide, or Protein",True,True
12,enhancers,C0086222,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,gene expression,C0017262,Genetic Function,True,True
16,genome,C0017428,Gene or Genome,PRODUCES,rnas,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
16,rnas,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,gene expression,C0017262,Genetic Function,True,True
24,regulatory elements,C0034987,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,gene expression,C0017262,Genetic Function,True,True
33,nucleosomes,C0028623,"Amino Acid, Peptide, or Protein",CONSISTS_OF,proteins,C0033684,"Amino Acid, Peptide, or Protein",True,True
35,methyltransferases,C0025831,"Amino Acid, Peptide, or Protein",AFFECTS,dna methylation,C0376452,Molecular Function,True,True
35,methylated-dna-binding proteins,C0911529,"Amino Acid, Peptide, or Protein",AFFECTS,dna methylation,C0376452,Molecular Function,True,True
38,histone phosphorylation,C1156206,Molecular Function,AFFECTS,transcription,C0040649,Genetic Function,True,True
39,binding histones,C1149303,Molecular Function,AFFECTS,gene expression,C0017262,Genetic Function,True,True
40,dna methylation inhibitors,C4329713,Pharmacologic Substance,TREATS,cancer,C0006826,Neoplastic Process,True,True
41,genes,C0017337,Gene or Genome,PRODUCES,noncoding rnas,C0887909,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
42,posttranscriptional silencing,C1136031,Genetic Function,AFFECTS,gene expression,C0017262,Genetic Function,True,True
44,mirnas,C1101610,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,gene expression,C0017262,Genetic Function,True,True
44,mirna genes,C2825314,Gene or Genome,PRODUCES,primary transcript,C1136155,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
46,sirnas,C1099354,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,dicer,C1309483,"Amino Acid, Peptide, or Protein",True,True
46,sirnas,C1099354,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,risc,C1099355,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
46,sirnas,C1099354,"Nucleic Acid, Nucleoside, or Nucleotide",CAUSES,silencing,C0858952,Mental or Behavioral Dysfunction,True,True
46,silencing,C0858952,Mental or Behavioral Dysfunction,AFFECTS,pathogenic genes,C0450254,Organism,True,True
47,lncrnas,C2982391,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,gene expression,C0017262,Genetic Function,True,True
49,unwinding,C1819424,Genetic Function,PROCESS_OF,mirna duplex,C4236688,Genetic Function,True,True
50,mirna,C1101610,"Nucleic Acid, Nucleoside, or Nucleotide",AFFECTS,function,C0031843,Physiologic Function,True,True
50,genes,C0017337,Gene or Genome,PRODUCES,pri-mirna,C1337054,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
50,mirna,C1101610,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,mrna,C0035696,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
56,lncrnas,C2982391,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,factors,C1257900,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
59,cleavage,C0010813,Cell Function,AFFECTS,phage,C0004651,Virus,True,True
59,grna,C0082774,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,cas9,C4704710,"Amino Acid, Peptide, or Protein",True,True
59,cas9,C4704710,"Amino Acid, Peptide, or Protein",CAUSES,double-strand dna breaks,C1511667,Cell or Molecular Dysfunction,True,True
64,genomes,C0017428,Gene or Genome,PART_OF,cells,C0007634,Cell,True,True
67,isolating,C1764827,Biologically Active Substance,AFFECTS,cellular functions,C0007613,Cell Function,True,True
70,peptides,C0030956,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,class i major histocompatibility molecules,C0019629,"Amino Acid, Peptide, or Protein",True,True
70,proteasomal degradation,C3824143,Molecular Function,AFFECTS,cellular signaling pathways,C3158103,Molecular Function,True,True
76,liver cell,C0227525,Cell,PART_OF,rat,C0034693,Mammal,True,True
76,liver,C0023884,"Body Part, Organ, or Organ Component",PART_OF,rat,C0034693,Mammal,True,True
77,structural proteins,C0582263,"Amino Acid, Peptide, or Protein",AFFECTS,intracellular organization,C1326957,Physiologic Function,True,True
77,basolateral,C4235343,Cell Component,PART_OF,cell,C0007634,Cell,True,True
78,mitochondria,C0026237,Cell Component,AFFECTS,anabolic metabolism,C0025519,Organism Function,True,True
83,phospholipids,C0031676,Organic Chemical,AFFECTS,cellular processes,C0007613,Cell Function,True,True
85,phosphatidylserine,C0031623,Organic Chemical,INTERACTS_WITH,proteins,C0033684,"Amino Acid, Peptide, or Protein",True,True
86,gangliosides,C0017082,Organic Chemical,AFFECTS,egg interactions,C0037853,Organ or Tissue Function,True,True
87,lipids,C0023779,Organic Chemical,AFFECTS,signaling,C0037083,Cell Function,True,True
87,membrane proteins,C0025252,"Amino Acid, Peptide, or Protein",AFFECTS,signaling,C0037083,Cell Function,True,True
94,extracellular proteins,C1333498,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,transmembrane proteins,C0021699,"Amino Acid, Peptide, or Protein",True,True
95,lipid bilayers,C0023768,Cell Component,PART_OF,membrane,C0025255,Tissue,True,True
103,toxins,C0040549,Biologically Active Substance,DISRUPTS,cell,C0007634,Cell,True,True
111,caveolae,C0230653,Cell Component,PART_OF,plasma membrane,C0007603,Cell Component,True,True
111,caveolae,C0230653,Cell Component,AFFECTS,cellular adhesion,C0007577,Cell Function,True,True
112,endocytosis,C0014139,Cell Function,CO_OCCURS_WITH,exocytosis,C0015283,Cell Function,True,True
113,macromolecules,C0178735,Chemical Viewed Structurally,INTERACTS_WITH,receptors,C0597357,"Amino Acid, Peptide, or Protein",True,True
113,ldl,C0023823,Organic Chemical,INTERACTS_WITH,receptors,C0597357,"Amino Acid, Peptide, or Protein",True,True
113,transferrin,C0040679,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,receptors,C0597357,"Amino Acid, Peptide, or Protein",True,True
117,f-actin,C1180307,"Amino Acid, Peptide, or Protein",AFFECTS,movement,C0026649,Organism Function,True,True
121,axons,C0004461,Cell Component,PART_OF,neurons,C0027882,Cell,True,True
123,epithelial cells,C0014597,Cell,PRODUCES,cytokeratins,C0010803,"Amino Acid, Peptide, or Protein",True,True
123,nuclear membrane lamins,C0028584,Cell Component,AFFECTS,nuclear gene transcription,C0040649,Genetic Function,True,True
123,premature aging,C0231341,Disease or Syndrome,MANIFESTATION_OF,disease,C0012634,Disease or Syndrome,True,True
124,microtubule organizing center,C0242607,Cell Component,ADJACENT_TO,nucleus,C0007610,Cell Component,True,True
125,molecular motor proteins,C1720835,"Amino Acid, Peptide, or Protein",AFFECTS,movement,C0026649,Organism Function,True,True
127,primary cilia,C3156332,Cell Component,AFFECTS,differentiation,C0007589,Cell Function,True,True
136,communicating junctions,C0206117,Body Space or Junction,INTERCONNECTS,cell,C0007634,Cell,True,True
138,er,C0014239,Cell Component,LOCATION_OF,synthesis,C0220781,Biologic Function,True,True
142,cisternae,C1166837,Cell Component,ADJACENT_TO,er,C0014239,Cell Component,True,True
142,cisternae,C1166837,Cell Component,ADJACENT_TO,plasma membrane,C0007603,Cell Component,True,True
142,glycosylation adducts,C0596040,Chemical Viewed Structurally,AFFECTS,senescent cells,C0007581,Cell Function,True,True
142,goblet cells,C0506994,Cell,PART_OF,intestine,C0021853,"Body Part, Organ, or Organ Component",True,True
142,bronchial epithelium,C0599333,"Body Part, Organ, or Organ Component",PRODUCES,polysaccharide-rich mucus,C0032594,Organic Chemical,True,True
142,plasma cells,C0032112,Cell,PRODUCES,antibodies,C0003241,"Amino Acid, Peptide, or Protein",True,True
144,cells,C0007634,Cell,PRODUCES,steroid hormones,C0301818,Organic Chemical,True,True
144,compounds,C0010124,Organic Chemical,CAUSES,reactive hyperplasia,C0333979,Pathologic Function,True,True
144,calcium ions,C0596235,Pharmacologic Substance,AFFECTS,muscle contraction,C0026820,Physiologic Function,True,True
153,ubiquitin,C0041538,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,protein,C0033684,"Amino Acid, Peptide, or Protein",True,True
154,dna genome,C0017428,Gene or Genome,PRODUCES,proteins,C0033684,"Amino Acid, Peptide, or Protein",True,True
162,mitochondria,C0026237,Cell Component,PRODUCES,atp,C0001480,"Nucleic Acid, Nucleoside, or Nucleotide",True,True
165,inner membrane,C3549061,Cell Component,ADJACENT_TO,intermembrane space,C1179889,Cell Component,True,True
165,intermembrane space,C1179889,Cell Component,LOCATION_OF,synthesis,C0220781,Biologic Function,True,True
165,outer membrane,C1167331,Cell Component,SURROUNDS,intermembrane space,C1179889,Cell Component,True,True
166,mitochondria,C0026237,Cell Component,PRODUCES,co2,C0007012,Biologically Active Substance,True,True
167,mitochondria,C0026237,Cell Component,PRODUCES,reactive oxygen species,C0162772,Biologically Active Substance,True,True
