cui,umls_concept
C0007603,Plasma membrane
C0014239,Endoplasmic Reticulum
C0018042,Golgi Apparatus
C0024369,Lysosomes
C0208355,multicatalytic endopeptidase complex
C0030664,Pathology
C0012634,Disease
C2699787,Disturbance
C0007634,Cells
C0086418,Homo sapiens
C5557127,Protein-Encoding Gene
C0033684,Proteins
C0017337,Genes
C1519595,RNA Transcript
C0521447,Nuclear (nucleus)
C0059882,Euchromatin
C0019397,Heterochromatin
C0008546,Chromatin
C0242609,Kinetochores
C0085187,telomere
C0028623,Nucleosomes
C0086860,Promoter
C0086222,Enhancer of transcription
C0015295,Exons
C0017428,Genome
C1101610,MicroRNAs
C3494264,"RNA, Long Untranslated"
C1257902,Jumping Genes
C1257903,Mobile Genetic Elements
C0007709,Centromere
C0042333,Variation (Genetics)
C0851285,Regulation
C0752046,Single Nucleotide Polymorphism
C1511518,Copy Number Polymorphism
C0242961,Replication Origin
C1420099,SLC14A2 gene
C0009170,cocaine
C1516924,Epigenetic Process
C0017262,Gene Expression
C1518613,Organism Modification
C3272453,Genomic DNA
C0019652,Histones
C1156199,histone modification
C1156200,Histone Acetylation
C0012854,DNA
C0376452,DNA Methylation
C0441635,Anatomical segmentation
C1325557,Nuclear chromatin
C0441889,Levels (qualifier value)
C0025831,Methyltransferase
C0014442,Enzymes
C0028589,Nuclear Proteins
C0033666,Post-Translational Protein Processing
C1333030,Chromatin Remodeling Factor
C0439855,Complex
C0062773,histone acetyltransferase
C0019643,Histone Deacetylase
C0026882,Mutation
C1512474,Histone deacetylase inhibitor
C0243077,inhibitors
C0040649,"Transcription, Genetic"
C1309483,"DICER1 protein, human"
C3272452,Single-Stranded RNA
C1099355,RNA-Induced Silencing Complex
C1704972,Genomic Orientation
C1099354,"RNA, Small Interfering"
C0035668,RNA
C0029016,Oncogenes
C2982391,Long Intergenic Non-Protein Coding RNA
C1421536,XIST gene
C2825314,MicroRNA Gene
C1337053,pre-miRNA
C3658200,Clustered Regularly Interspaced Short Palindromic Repeats
C0678209,Adaptive Immunity
C0162327,RNA Sequence
C4704710,CRISPR-Associated Protein 9
C0010813,Cytokinesis
C0082774,Guide RNA
C0205145,Site
C1518406,Non-Homologous DNA End-Joining
C0599773,Homologous Recombination
C0032136,Plasmids
C0175816,Cold Hemagglutinin Disease
C1334043,Homologous Gene
C0031843,physiological aspects
C1185625,Anatomical compartments
C0230789,Smooth Endoplasmic Reticulum
C0030956,Peptides
C3824143,proteasome complex disassembly
C0391845,Lysosomal enzyme
C0752063,peroxisome
C1383501,Cytoplasmic matrix
C0026237,Mitochondria
C0230779,Rough endoplasmic reticulum
C0007610,Cell Nucleus
C0034850,Endosomes
C0699900,Catabolism
C0333262,Vesicle (morphologic abnormality)
C0010853,Cytoskeleton
C0030013,Oxidative Phosphorylation
C0001480,adenosine triphosphate
