cui,umls_concept,entity_norm
C0007603,Plasma membrane,plasma membrane
C0014239,Endoplasmic Reticulum,endoplasmic reticulum
C0018042,Golgi Apparatus,golgi apparatus
C0024369,Lysosomes,lysosomes
C0208355,multicatalytic endopeptidase complex,multicatalytic endopeptidase complex
C0030664,Pathology,pathology
C0012634,Disease,disease
C2699787,Disturbance,disturbance
C0007634,Cells,cells
C0086418,Homo sapiens,homo sapiens
C5557127,Protein-Encoding Gene,proteinencoding gene
C0033684,Proteins,proteins
C0017337,Genes,genes
C1519595,RNA Transcript,rna transcript
C0521447,Nuclear (nucleus),nuclear nucleus
C0059882,Euchromatin,euchromatin
C0019397,Heterochromatin,heterochromatin
C0008546,Chromatin,chromatin
C0242609,Kinetochores,kinetochores
C0085187,telomere,telomere
C0028623,Nucleosomes,nucleosomes
C0086860,Promoter,promoter
C0086222,Enhancer of transcription,enhancer of transcription
C0015295,Exons,exons
C0017428,Genome,genome
C1101610,MicroRNAs,micrornas
C3494264,"RNA, Long Untranslated",rna long untranslated
C1257902,Jumping Genes,jumping genes
C1257903,Mobile Genetic Elements,mobile genetic elements
C0007709,Centromere,centromere
C0042333,Variation (Genetics),variation genetics
C0851285,Regulation,regulation
C0752046,Single Nucleotide Polymorphism,single nucleotide polymorphism
C1511518,Copy Number Polymorphism,copy number polymorphism
C0242961,Replication Origin,replication origin
C1420099,SLC14A2 gene,slc14a2 gene
C0009170,cocaine,cocaine
C1516924,Epigenetic Process,epigenetic process
C0017262,Gene Expression,gene expression
C1518613,Organism Modification,organism modification
C3272453,Genomic DNA,genomic dna
C0019652,Histones,histones
C1156199,histone modification,histone modification
C1156200,Histone Acetylation,histone acetylation
C0012854,DNA,dna
C0376452,DNA Methylation,dna methylation
C0441635,Anatomical segmentation,anatomical segmentation
C1325557,Nuclear chromatin,nuclear chromatin
C0441889,Levels (qualifier value),levels qualifier value
C0025831,Methyltransferase,methyltransferase
C0014442,Enzymes,enzymes
C0028589,Nuclear Proteins,nuclear proteins
C0033666,Post-Translational Protein Processing,posttranslational protein processing
C1333030,Chromatin Remodeling Factor,chromatin remodeling factor
C0439855,Complex,complex
C0062773,histone acetyltransferase,histone acetyltransferase
C0019643,Histone Deacetylase,histone deacetylase
C0026882,Mutation,mutation
C1512474,Histone deacetylase inhibitor,histone deacetylase inhibitor
C0243077,inhibitors,inhibitors
C0040649,"Transcription, Genetic",transcription genetic
C1309483,"DICER1 protein, human",dicer1 protein human
C3272452,Single-Stranded RNA,singlestranded rna
C1099355,RNA-Induced Silencing Complex,rnainduced silencing complex
C1704972,Genomic Orientation,genomic orientation
C1099354,"RNA, Small Interfering",rna small interfering
C0035668,RNA,rna
C0029016,Oncogenes,oncogenes
C2982391,Long Intergenic Non-Protein Coding RNA,long intergenic nonprotein coding rna
C1421536,XIST gene,xist gene
C2825314,MicroRNA Gene,microrna gene
C1337053,pre-miRNA,premirna
C3658200,Clustered Regularly Interspaced Short Palindromic Repeats,clustered regularly interspaced short palindromic repeats
C0678209,Adaptive Immunity,adaptive immunity
C0162327,RNA Sequence,rna sequence
C4704710,CRISPR-Associated Protein 9,crisprassociated protein 9
C0010813,Cytokinesis,cytokinesis
C0082774,Guide RNA,guide rna
C0205145,Site,site
C1518406,Non-Homologous DNA End-Joining,nonhomologous dna endjoining
C0599773,Homologous Recombination,homologous recombination
C0032136,Plasmids,plasmids
C0175816,Cold Hemagglutinin Disease,cold hemagglutinin disease
C1334043,Homologous Gene,homologous gene
C0031843,physiological aspects,physiological aspects
C1185625,Anatomical compartments,anatomical compartments
C0230789,Smooth Endoplasmic Reticulum,smooth endoplasmic reticulum
C0030956,Peptides,peptides
C3824143,proteasome complex disassembly,proteasome complex disassembly
C0391845,Lysosomal enzyme,lysosomal enzyme
C0752063,peroxisome,peroxisome
C1383501,Cytoplasmic matrix,cytoplasmic matrix
C0026237,Mitochondria,mitochondria
C0230779,Rough endoplasmic reticulum,rough endoplasmic reticulum
C0007610,Cell Nucleus,cell nucleus
C0034850,Endosomes,endosomes
C0699900,Catabolism,catabolism
C0333262,Vesicle (morphologic abnormality),vesicle morphologic abnormality
C0010853,Cytoskeleton,cytoskeleton
C0030013,Oxidative Phosphorylation,oxidative phosphorylation
C0001480,adenosine triphosphate,adenosine triphosphate
C0007595,Cell Growth,cell growth
C0024501,Maintenance,maintenance
C0543484,catabolic aspects,catabolic aspects
C0598629,Hydrophobicity,hydrophobicity
C0023779,Lipids,lipids
C0031621,phosphatidylinositols,phosphatidylinositols
C0031669,Phospholipase C,phospholipase c
C0071655,Phosphatidylinositol Phosphates,phosphatidylinositol phosphates
C0031623,Phosphatidylserines,phosphatidylserines
C0162638,Apoptosis,apoptosis
C0017950,Glycolipids,glycolipids
C0037906,Sphingomyelins,sphingomyelins
C0449432,Component object,component object
C0025252,Membrane Proteins,membrane proteins
C0021699,Integral Membrane Proteins,integral membrane proteins
C1959616,Phosphatidylcholines,phosphatidylcholines
C0031618,phosphatidylethanolamines,phosphatidylethanolamines
C0008377,cholesterol,cholesterol
C1446409,Positive,positive
C0441833,Groups,groups
C0015684,Fatty Acids,fatty acids
C0025255,Tissue membrane,tissue membrane
C1333498,Extracellular Protein,extracellular protein
C0597357,receptor,receptor
C0061622,Glycocalyx,glycocalyx
C0030054,oxygen,oxygen
C0007012,carbon dioxide,carbon dioxide
C0043047,water,water
C0023768,Lipid Bilayers,lipid bilayers
C0567416,Molecule,molecule
C0019139,"Heparin, Low-Molecular-Weight",heparin lowmolecularweight
C0599635,water channel,water channel
C0475370,Hydrophilicity,hydrophilicity
C0007292,Carrier Proteins,carrier proteins
C0086045,Mental concentration,mental concentration
C0013790,Electricity,electricity
C0005529,"Biological Transport, Active",biological transport active
C0026826,Muscle Hypertonia,muscle hypertonia
C0241938,Hypotonicity,hypotonicity
C0424589,Vitality,vitality
C0022116,Ischemia,ischemia
C0441712,Mechanism (attribute),mechanism attribute
C0014139,Endocytosis,endocytosis
C0230653,Caveolae,caveolae
C0871786,internalization,internalization
C0008905,Clathrin,clathrin
C0015283,Exocytosis,exocytosis
C1548151,Species - Nature of Abnormal Testing,species nature of abnormal testing
C0007294,Genetic Carriers,genetic carriers
C0031945,Pinocytosis,pinocytosis
C0031308,Phagocytosis,phagocytosis
C0031310,Phagosomes,phagosomes
C0597601,Transcytosis,transcytosis
C0886515,Secretory Vesicles,secretory vesicles
C0442805,Increase,increase
C0379710,caveolin 1,caveolin 1
C0597361,Receptor Mediated Endocytosis,receptor mediated endocytosis
C0887885,Clathrin-Coated Vesicles,clathrincoated vesicles
C0887883,Early endosome,early endosome
C1166848,late endosome,late endosome
C0023823,Low-Density Lipoproteins,lowdensity lipoproteins
C0040679,Transferrin,transferrin
C0243067,defects aspect,defects aspect
C0025979,Microfilaments,microfilaments
C0016890,G-Actin,gactin
C0221908,Epithelial,epithelial
C0015350,Extracellular Matrix,extracellular matrix
C0027096,Myosin ATPase,myosin atpase
C0026649,Movement,movement
C0020291,Hydrolysis,hydrolysis
C1180307,F-Actin,factin
C0064635,Lamins,lamins
C0021770,Intermediate Filaments,intermediate filaments
C0042666,Vimentin,vimentin
C0011696,Desmin,desmin
C0001271,Actins,actins
C0027834,Neurofilaments,neurofilaments
C0017626,Glial Fibrillary Acidic Protein,glial fibrillary acidic protein
C0027836,Neuroglia,neuroglia
C0014597,Epithelial Cells,epithelial cells
C0010803,Cytokeratin,cytokeratin
C0028584,Nuclear Envelope,nuclear envelope
C0033300,Progeria,progeria
C0026046,Microtubules,microtubules
C3893601,A axonemal microtubule,a axonemal microtubule
C0242607,Microtubule-Organizing Center,microtubuleorganizing center
C0085139,Kinesin,kinesin
C0013352,Dynein ATPase,dynein atpase
C1657581,mitotic sister chromatid separation,mitotic sister chromatid separation
C3156332,Primary Cilia,primary cilia
C3158395,Motile Cilia,motile cilia
C0016192,Flagella,flagella
C1706311,Junction Device,junction device
C0034800,"Receptors, Cell Surface",receptors cell surface
C0242358,Tight Junctions,tight junctions
C0887872,Adherens Junction,adherens junction
C0011703,Desmosome,desmosome
C0230616,Hemidesmosomes,hemidesmosomes
C0006631,Cadherins,cadherins
C1154395,homophilic cell adhesion via plasma membrane adhesion molecules,homophilic cell adhesion via plasma membrane adhesion molecules
C0021701,Integrins,integrins
C0887870,Focal Adhesions,focal adhesions
C0022023,Ions,ions
C0206117,Gap Junctions,gap junctions
C0230609,Connexon,connexon
C0220781,Anabolism,anabolism
C2613145,response to endoplasmic reticulum stress,response to endoplasmic reticulum stress
C1655235,misfolded protein binding,misfolded protein binding
C0028959,Oligosaccharides,oligosaccharides
C1545588,Protection,protection
C1624575,acquisition of nutrients from host,acquisition of nutrients from host
C0034962,Refuse Disposal,refuse disposal
C0008972,Clinical Research,clinical research
C2612269,cellular component biogenesis,cellular component biogenesis
C1515926,Alteration,alteration
C4277569,Protein Structural Elements,protein structural elements
C1519315,Signaling Molecule,signaling molecule
C0597298,Protein Isoforms,protein isoforms
C0205177,Active,active
C0205254,Sedentary,sedentary
C0598175,Chromosome Segregation,chromosome segregation
C0028630,Nucleotides,nucleotides
C0008545,Chromatids,chromatids
C0043250,Injury wounds,injury wounds
C0230467,Arch of foot,arch of foot
C0017263,Gene Expression Regulation,gene expression regulation
C1156187,chromatin organization,chromatin organization
C0008633,Chromosomes,chromosomes
C1314792,Etiology,etiology
C0205419,Variant,variant
C5236477,Single Nucleotide Variant,single nucleotide variant
C0021920,Introns,introns
C0887859,Intergenic Region,intergenic region
C0079941,Open Reading Frames,open reading frames
C0034987,"Regulatory Sequences, Nucleic Acid",regulatory sequences nucleic acid
C0012655,Disease susceptibility,disease susceptibility
C0314627,Gene function,gene function
C0031437,Phenotype,phenotype
C0216162,"ATP7A protein, human",atp7a protein human
C0314603,Genetic,genetic
C0270814,Spastic syndrome,spastic syndrome
C0027361,Persons,persons
C0040712,Language Translations,language translations
C1819424,DNA duplex unwinding,dna duplex unwinding
C0233656,Mental condensation,mental condensation
C0598496,Gene Silencing,gene silencing
C0025723,Methylation,methylation
C0162493,Transcriptional Activation,transcriptional activation
C1517891,Linker DNA,linker dna
C1326116,sperm DNA condensation,sperm dna condensation
C1621524,heterochromatin assembly,heterochromatin assembly
C1336789,Transcription Repressor/Corepressor,transcription repressorcorepressor
C1257775,Histone Code,histone code
C0205183,Benign,benign
C0227099,Mandibular right second primary molar,mandibular right second primary molar
C0006826,Malignant Neoplasms,malignant neoplasms
C0887909,"RNA, Untranslated",rna untranslated
C1337054,Primary MicroRNA,primary microrna
C1158726,mRNA cleavage,mrna cleavage
C1521840,Target,target
C0007621,Neoplastic Cell Transformation,neoplastic cell transformation
C0035681,DNA-Directed RNA Polymerase,dnadirected rna polymerase
C0043292,X Chromosome,x chromosome
C0010834,Cytoplasm,cytoplasm
C0040648,TRANSCRIPTION FACTOR,transcription factor
C0392747,Changing,changing
C0003850,Arteriosclerosis,arteriosclerosis
C0004651,Bacteriophages,bacteriophages
C1511667,"DNA Breaks, Double-Stranded",dna breaks doublestranded
C0332453,Disruption,disruption
C0162326,DNA Sequence,dna sequence
C1721104,DNA Breaks,dna breaks
C1179933,Free ribosome,free ribosome
C0596715,hormone biosynthetic process,hormone biosynthetic process
C1157478,lipoprotein biosynthetic process,lipoprotein biosynthetic process
C0029219,Organelles,organelles
C0030685,Patient Discharge,patient discharge
C0019629,Histocompatibility Antigens Class I,histocompatibility antigens class i
C1749719,Adaptive Immune Response,adaptive immune response
C1513372,Modeling of Cellular Pathways,modeling of cellular pathways
C0178735,macromolecule,macromolecule
C0007367,catalase,catalase
C0027021,peroxidase,peroxidase
C0025519,Metabolism,metabolism
C0597295,Protein Biosynthesis,protein biosynthesis
C0542479,"Energy, Physics",energy physics
C0599814,Intracellular Transport,intracellular transport
C1523935,cellular catabolic process,cellular catabolic process
C1158373,long-chain fatty acid metabolic process,longchain fatty acid metabolic process
C0020281,hydrogen peroxide,hydrogen peroxide
C0520510,Materials,materials
C0439879,Metalloids,metalloids
C0018966,Heme,heme
C5670644,Chemical Building Block,chemical building block
C1706912,BARRIER,barrier
C0031676,phospholipids,phospholipids
C0007613,Cell physiology,cell physiology
C0043791,Diacylglycerol,diacylglycerol
C2246331,inositol trisphosphate biosynthetic process,inositol trisphosphate biosynthetic process
C0205102,Internal,internal
C2825491,Negative Charge,negative charge
C1710082,Signal,signal
C1521761,Factor,factor
C0521119,Extracellular,extracellular
C1167250,lipid raft,lipid raft
C0037420,Social Interaction,social interaction
C1155494,intracellular signal transduction,intracellular signal transduction
C0017968,Glycoproteins,glycoproteins
C0870883,Metabolite,metabolite
C1708664,Leaflet Device,leaflet device
C0037083,Signal Transduction,signal transduction
C0061688,Glycosylphosphatidylinositols,glycosylphosphatidylinositols
C0392148,Providing presence (regime/therapy),providing presence regimetherapy
C0007004,Carbohydrates,carbohydrates
C3821327,cell-cell adhesion,cellcell adhesion
C0205369,Specific qualifier value,specific qualifier value
C0005528,Biological Transport,biological transport
C1948027,Couple (action),couple action
C4505125,Copper-Transporting ATPases,coppertransporting atpases
C0010124,Corticosterone,corticosterone
C0700321,Small,small
C1420193,SLC4A1 gene,slc4a1 gene
C0175996,Protoplasm,protoplasm
C0020283,Hydrogen-Ion Concentration,hydrogenion concentration
C1145667,Binding action,binding action
C0597488,solute,solute
C0015349,Extracellular Fluid,extracellular fluid
C0024432,macrophage,macrophage
C0027950,neutrophil,neutrophil
C0423896,Feeling content,feeling content
C2936531,GPI-Linked Proteins,gpilinked proteins
C0001455,cyclic AMP,cyclic amp
C0282625,src-Family Kinases,srcfamily kinases
C1414662,FOLR1 gene,folr1 gene
C0598721,potocytosis,potocytosis
C0026850,Muscular Dystrophy,muscular dystrophy
C0000768,Congenital Abnormality,congenital abnormality
C1184743,bony process,bony process
C0302583,iron,iron
C0020445,"Hypercholesterolemia, Familial",hypercholesterolemia familial
