:START_ID,:END_ID,:TYPE
C0007603,C1545588,HAVE_FUNCTION
C0007603,C1624575,HAVE_FUNCTION
C0014239,C0220781,BE_A
C0018042,C0220781,BE_A
C0024369,C0034962,HAVE_FUNCTION
C0208355,C0034962,HAVE_FUNCTION
C0030664,C0008972,BE_A
C0012634,C2612269,ORIGINATE_AT
C2699787,C1515926,ARISE_FROM
C0007634,C0012634,GIVE_RISE_TO
C0086418,C0012854,CONTAIN
C0086418,C5557127,CONTAIN
C5557127,C0017428,COMPRISE
C0033684,C0007634,BE
C0033684,C0014442,FUNCTION_AS
C0033684,C4277569,FUNCTION_AS
C0033684,C1519315,FUNCTION_AS
C0017337,C1519595,PRODUCE
C1519595,C0597298,ENCODE
C0086418,C0851285,HAVE_FUNCTION
C0521447,C0059882,ORGANIZE_INTO
C0521447,C0019397,ORGANIZE_INTO
C0059882,C0205177,BE_A
C0019397,C0205254,BE_A
C0008546,C0028584,BE_CONNECTED_WITH
C0521447,C0040649,CAN_INFLUENCE
C0242609,C0598175,REGULATE
C0085187,C0028630,BE
C0085187,C0008545,CAP
C0008546,C0028623,COMPOSE_OF
C0028623,C0043250,COMPOSE_OF
C0086860,C0040649,INITIATE
C0086222,C0017262,MODULATE
C0015295,C0033684,BE_TRANSLATED_INTO
C0017428,C0230467,PROVIDE
C1101610,C0017262,REGULATE
C3494264,C0017262,REGULATE
C0086418,C1257903,BE_COMPOSED_OF
C1257902,C1257903,BE_A
C1257903,C0017263,IMPLICATE_IN
C1257903,C1156187,IMPLICATE_IN
C0085187,C0008633,BE
C0007709,C0008633,BE
C0042333,C0012634,ASSOCIATE_WITH
C0042333,C0017428,LOCATE_IN
C0851285,C1314792,ASSOCIATE_WITH
C0752046,C0205419,BE_A
C1511518,C0205419,BE_A
C0752046,C5236477,BE_A
C0752046,C0017428,LOCATE_IN
C0752046,C0015295,LOCATE_IN
C0752046,C0021920,LOCATE_IN
C0752046,C0887859,LOCATE_IN
C0752046,C0079941,LOCATE_IN
C0242961,C0034987,LOCATE_IN
C0242961,C0017262,ALTER
C0752046,C0012655,INFLUENCE
C1420099,C0752046,BE_A_TYPE_OF
C1420099,C0314627,HAVE_NO_EFFECT_ON
C1420099,C0031437,HAVE_NO_EFFECT_ON
C1420099,C0216162,COINHERITED_WITH
C0752046,C0314603,BE_IN_LINKAGE_DISEQUILIBRIUM_WITH
C0752046,C0012655,HAVE_WEAK_EFFECT_ON
C0009170,C0042333,BE_A
C0009170,C0270814,CONSIST_OF
C0009170,C0027361,CAUSE
C0009170,C0079941,INVOLVE
C0009170,C0086418,UNDERLIE
C1516924,C0017262,BE_A
C0017262,C1515926,NOT_CAUSED_BY
C1518613,C0040649,REGULATE
C1518613,C0040712,REGULATE
C1518613,C0017262,INFLUENCE
C3272453,C0028623,BE_PACKED_INTO
C0028623,C0033684,BE_COMPRISED_OF
C0033684,C0019652,CONSIST_OF
C0019652,C0012854,BE_LOCATED_ON
C0019652,C0008546,STABILIZE
C1156199,C1819424,REGULATE
C1156200,C0008546,CAUSE
C0019652,C0233656,CAUSE
C0019652,C0598496,LEAD_TO
C0012854,C0025723,CAN_BE_MODIFIED_BY
C0376452,C0162493,BE_ASSOCIATED_WITH
C0441635,C0019652,WRAP_AROUND
C0028623,C1517891,BE_JOINED_BY
C1325557,C0019397,HAVE_FORM
C1325557,C0059882,HAVE_FORM
C0019397,C0205254,BE
C0059882,C0040649,BE
C0059882,C0017262,PERMIT
C0441889,C1326116,RESULT_IN
C0441889,C1621524,RESULT_IN
C0025831,C0376452,REGULATE
C0014442,C0376452,REGULATE
C0033684,C0376452,REGULATE
C0028589,C0028623,REGULATE
C0033666,C0028623,REGULATE
C1333030,C0028623,REPOSITION
C0028623,C0034987,EXPOSE
C0439855,C1156199,CARRY_OUT
C0014442,C0019652,ACCOMPLISH
C0019652,C0162493,CAN_LEAD_TO
C0019652,C1336789,CAN_LEAD_TO
C0019652,C0008546,CAUSE
C0019652,C0040649,INCREASE
C0062773,C1156200,CAUSE
C0019643,C1156200,REVERSE
C0019643,C1326116,LEAD_TO
C0019652,C0008546,CAN_CAUSE
C0019652,C0019397,CAN_CAUSE
C0019652,C0040649,CAN_INCREASE
C0019652,C0040649,CAN_DECREASE
C0008546,C1257775,REVERSE
C0008546,C0019652,BIND
C0008546,C0017262,REGULATE
C0012634,C0026882,ASSOCIATE_WITH
C0017428,C0205183,CAUSE
C0026882,C0227099,BE_REVERSIBLE
C1512474,C0006826,TREAT
C0243077,C0006826,TREAT
C1156200,C0026882,BE_A
C0376452,C0026882,BE_A
C1101610,C0887909,BE_A
C3494264,C0887909,BE_A
C1101610,C0035668,MODULATE
C1101610,C0017262,CAUSE
C0040649,C1337054,PRODUCE
C1309483,C1337054,PROCESS
C3272452,C1099355,ASSOCIATE_WITH
C1099355,C1158726,INDUCE
C1099355,C0040712,REPRESS
C1704972,C1521840,BASE_PAIRS_WITH
C1099354,C1309483,BE_SUBSTRATE_FOR
C1099354,C0439855,INTERACT_WITH
C0035668,C0017337,USE_AS_THERAPEUTIC_TO
C0029016,C0007621,INVOLVE_IN
C3494264,C0017262,MODULATE
C2982391,C0008546,BIND_TO
C2982391,C0035681,RESTRICT_ACCESS_OF
C1421536,C0043292,BE_TRANSCRIBED_FROM
C1421536,C0008633,CAUSE
C1421536,C0598496,CAUSE
C2825314,C1101610,BE_TRANSCRIBED_TO_PRODUCE
C1101610,C1337053,BE_PROCESSED_TO_FORM
C1337053,C0007610,BE_LOCATED_IN
C1337053,C0007610,BE_EXPORTED_FROM
C1309483,C0010834,BE_LOCATED_IN
C1309483,C1337053,TRIM
C1309483,C1704972,GENERATE
C1704972,C1099355,BE_INCORPORATED_INTO
C3272452,C1521840,BASE_PAIRS_WITH
C1099355,C1521840,CLEAVE
C1099355,C1521840,REPRESS_TRANSLATION_OF
C1101610,C0017337,SILENCE
C3494264,C0040648,FACILITATE
C3494264,C0017337,PROMOTE
C2982391,C0040648,BIND
C2982391,C0040649,PREVENT
C2982391,C1156199,DIRECT
C2982391,C0392747,DIRECT
C2982391,C0439855,ACT_AS_SCAFFOLDING_FOR
C0439855,C0008546,INFLUENCE
C0439855,C0017337,INFLUENCE
C2982391,C0003850,ASSOCIATE_WITH
C2982391,C0006826,ASSOCIATE_WITH
C3658200,C0678209,PROVIDE
C0017337,C0678209,PROVIDE
C0678209,C0004651,BE_A_DEFENSE_AGAINST
C0678209,C0032136,BE_A_DEFENSE_AGAINST
C3658200,C0162327,BE_TRANSCRIBED_INTO
C0162327,C4704710,BIND
C0162327,C4704710,DIRECT
C4704710,C0004651,CLEAVE
C0010813,C0004651,LEAD_TO
C0035668,C4704710,BIND
C0082774,C4704710,DIRECT
C4704710,C1511667,INDUCE
C0205145,C0332453,CAN_LEAD_TO
