cui,umls_concept
C0007603,plasma membrane
C0014239,endoplasmic reticulum
C0018042,golgi apparatus
C0024369,lysosomes
C0208355,multicatalytic endopeptidase complex
C0030664,pathology
C0012634,disease
C2699787,disturbance
C0007634,cells
C0086418,homo sapiens
C5557127,proteinencoding gene
C0033684,proteins
C0017337,genes
C1519595,rna transcript
C0521447,nuclear nucleus
C0059882,euchromatin
C0019397,heterochromatin
C0008546,chromatin
C0242609,kinetochores
C0085187,telomere
C0028623,nucleosomes
C0086860,promoter
C0086222,enhancer of transcription
C0015295,exons
C0017428,genome
C1101610,micrornas
C3494264,rna long untranslated
C1257902,jumping genes
C1257903,mobile genetic elements
C0007709,centromere
C0042333,variation genetics
C0851285,regulation
C0752046,single nucleotide polymorphism
C1511518,copy number polymorphism
C0242961,replication origin
C1420099,slc14a2 gene
C0009170,cocaine
C1516924,epigenetic process
C0017262,gene expression
C1518613,organism modification
C3272453,genomic dna
C0019652,histones
C1156199,histone modification
C1156200,histone acetylation
C0012854,dna
C0376452,dna methylation
C0441635,anatomical segmentation
C1325557,nuclear chromatin
C0441889,levels qualifier value
C0025831,methyltransferase
C0014442,enzymes
C0028589,nuclear proteins
C0033666,posttranslational protein processing
C1333030,chromatin remodeling factor
C0439855,complex
C0062773,histone acetyltransferase
C0019643,histone deacetylase
C0026882,mutation
C1512474,histone deacetylase inhibitor
C0243077,inhibitors
C0040649,transcription genetic
C1309483,dicer1 protein human
C3272452,singlestranded rna
C1099355,rnainduced silencing complex
C1704972,genomic orientation
C1099354,rna small interfering
C0035668,rna
C0029016,oncogenes
C2982391,long intergenic nonprotein coding rna
C1421536,xist gene
C2825314,microrna gene
C1337053,premirna
C3658200,clustered regularly interspaced short palindromic repeats
C0678209,adaptive immunity
C0162327,rna sequence
C4704710,crisprassociated protein 9
C0010813,cytokinesis
C0082774,guide rna
C0205145,site
C1518406,nonhomologous dna endjoining
C0599773,homologous recombination
C0032136,plasmids
C0175816,cold hemagglutinin disease
C1334043,homologous gene
C0031843,physiological aspects
C1185625,anatomical compartments
C0230789,smooth endoplasmic reticulum
C0030956,peptides
C3824143,proteasome complex disassembly
C0391845,lysosomal enzyme
C0752063,peroxisome
C1383501,cytoplasmic matrix
C0026237,mitochondria
C0230779,rough endoplasmic reticulum
C0007610,cell nucleus
C0034850,endosomes
C0699900,catabolism
C0333262,vesicle morphologic abnormality
C0010853,cytoskeleton
C0030013,oxidative phosphorylation
C0001480,adenosine triphosphate
C0007595,cell growth
C0024501,maintenance
C0543484,catabolic aspects
C0598629,hydrophobicity
C0023779,lipids
C0031621,phosphatidylinositols
C0031669,phospholipase c
C0071655,phosphatidylinositol phosphates
C0031623,phosphatidylserines
C0162638,apoptosis
C0017950,glycolipids
C0037906,sphingomyelins
C0449432,component object
C0025252,membrane proteins
