start_id,end_id,normalized_relation
C0007603,C1545588,BE
C0007603,C1624575,BE
C0014239,C0220781,BE
C0018042,C0220781,BE
C0024369,C0034962,BE
C0208355,C0034962,BE
C0030664,C0008972,BE
C0012634,C2612269,BE
C2699787,C1515926,BE
C0007634,C0012634,BE
C0086418,C0012854,BE
C0086418,C5557127,BE
C5557127,C0017428,BE
C0033684,C0007634,BE
C0033684,C0014442,BE
C0033684,C4277569,BE
C0033684,C1519315,BE
C0017337,C1519595,BE
C1519595,C0597298,BE
C0086418,C0851285,BE
C0521447,C0059882,GROUP_INTO
C0521447,C0019397,GROUP_INTO
C0059882,C0205177,BE
C0019397,C0205254,BE
C0008546,C0028584,BE
C0521447,C0040649,BE
C0242609,C0598175,BE
C0085187,C0028630,BE
C0085187,C0008545,BE
C0008546,C0028623,BE
C0028623,C0043250,BE
C0086860,C0040649,BE
C0086222,C0017262,BE
C0015295,C0033684,BE
C0017428,C0230467,BE
C1101610,C0017262,BE
C3494264,C0017262,BE
C0086418,C1257903,BE_COMPOSED_OF
C1257902,C1257903,BE
C1257903,C0017263,BE
C1257903,C1156187,BE
C0085187,C0008633,BE
C0007709,C0008633,BE
C0042333,C0012634,BE
C0042333,C0017428,LOCATE_IN
C0851285,C1314792,BE
C0752046,C0205419,BE
C1511518,C0205419,BE
C0752046,C5236477,BE
C0752046,C0017428,LOCATE_IN
C0752046,C0015295,LOCATE_IN
C0752046,C0021920,LOCATE_IN
C0752046,C0887859,LOCATE_IN
C0752046,C0079941,LOCATE_IN
C0242961,C0034987,LOCATE_IN
C0242961,C0017262,BE
C0752046,C0012655,BE
C1420099,C0752046,BE_TYPE
C1420099,C0314627,HAVE_EFFECT_ON
C1420099,C0031437,HAVE_EFFECT_ON
C1420099,C0216162,BE
C0752046,C0314603,BE
C0752046,C0012655,BE
C0009170,C0042333,BE
C0009170,C0270814,BE
C0009170,C0027361,BE
C0009170,C0079941,BE
C0009170,C0086418,BE
C1516924,C0017262,BE
C0017262,C1515926,BE
C1518613,C0040649,BE
C1518613,C0040712,BE
C1518613,C0017262,BE
C3272453,C0028623,BE
C0028623,C0033684,BE_COMPOSED_OF
C0033684,C0019652,BE
C0019652,C0012854,BE_LOCATED_ON
C0019652,C0008546,BE
C1156199,C1819424,BE
C1156200,C0008546,BE
C0019652,C0233656,BE
C0019652,C0598496,BE
C0012854,C0025723,BE
C0376452,C0162493,BE
C0441635,C0019652,BE
C0028623,C1517891,BE
C1325557,C0019397,BE
C1325557,C0059882,BE
C0019397,C0205254,BE
C0059882,C0040649,BE
C0059882,C0017262,BE
C0441889,C1326116,BE
C0441889,C1621524,BE
C0025831,C0376452,BE
C0014442,C0376452,BE
C0033684,C0376452,BE
C0028589,C0028623,BE
C0033666,C0028623,BE
C1333030,C0028623,BE
C0028623,C0034987,BE
C0439855,C1156199,BE
C0014442,C0019652,BE
C0019652,C0162493,BE
C0019652,C1336789,BE
C0019652,C0008546,BE
C0019652,C0040649,BE
C0062773,C1156200,BE
C0019643,C1156200,BE
C0019643,C1326116,BE
C0019652,C0008546,BE
C0019652,C0019397,BE
C0019652,C0040649,BE
C0019652,C0040649,BE
C0008546,C1257775,BE
C0008546,C0019652,BE
C0008546,C0017262,BE
C0012634,C0026882,BE
C0017428,C0205183,BE
C0026882,C0227099,BE_REVERSIBLE
C1512474,C0006826,BE
C0243077,C0006826,BE
C1156200,C0026882,BE
C0376452,C0026882,BE
C1101610,C0887909,BE
C3494264,C0887909,BE
C1101610,C0035668,BE
C1101610,C0017262,BE
C0040649,C1337054,BE
C1309483,C1337054,BE
C3272452,C1099355,BE
C1099355,C1158726,BE
C1099355,C0040712,BE
C1704972,C1521840,BE
C1099354,C1309483,BE
C1099354,C0439855,BE
C0035668,C0017337,BE
C0029016,C0007621,BE
C3494264,C0017262,BE
C2982391,C0008546,BE
C2982391,C0035681,BE
C1421536,C0043292,BE
C1421536,C0008633,BE
C1421536,C0598496,BE
C2825314,C1101610,BE
C1101610,C1337053,BE
C1337053,C0007610,BE_LOCATED_ON
C1337053,C0007610,BE
C1309483,C0010834,BE_LOCATED_ON
C1309483,C1337053,BE
C1309483,C1704972,BE
C1704972,C1099355,BE
C3272452,C1521840,BE
C1099355,C1521840,BE
C1099355,C1521840,BE
C1101610,C0017337,BE
C3494264,C0040648,BE
C3494264,C0017337,BE
C2982391,C0040648,BE
C2982391,C0040649,BE
C2982391,C1156199,BE
C2982391,C0392747,BE
C2982391,C0439855,BE
C0439855,C0008546,BE
C0439855,C0017337,BE
C2982391,C0003850,BE
C2982391,C0006826,BE
C3658200,C0678209,BE
C0017337,C0678209,BE
C0678209,C0004651,PROTECT_FROM
C0678209,C0032136,PROTECT_FROM
C3658200,C0162327,TURN_INTO
C0162327,C4704710,BE
C0162327,C4704710,BE
C4704710,C0004651,BE
C0010813,C0004651,BE
C0035668,C4704710,BE
C0082774,C4704710,BE
C4704710,C1511667,BE
C0205145,C0332453,BE
C1518406,C0205145,MECHANISM_IS
C0599773,C0162326,MECHANISM_IS
C0032136,C0082774,BE
C0032136,C0014442,BE
C3658200,C0035668,TURN_INTO
C0242961,C4704710,BE
C0175816,C0012854,BE
C0017262,C1521840,BE
C1334043,C0012854,BE
C1334043,C0332453,BE
C0599773,C1721104,BE
C0599773,C0162326,BE
C0175816,C0314603,BE
C0175816,C0026882,BE
C0175816,C0017428,BE
C0026882,C0006826,BE
C0175816,C0017337,BE
C0175816,C0012634,BE
C0031843,C0007634,BE
C1185625,C0007634,BE
C0033684,C0230779,BE
C0033684,C0018042,BE
C0033684,C1179933,BE
C0230789,C0596715,BE_SITE_OF
C0230789,C1157478,BE_SITE_OF
C0230789,C0392747,BE_SITE_OF
C0007634,C0567416,BE
C0007634,C0033684,BE
C0007634,C0029219,BE
C0208355,C0033684,BE
C0208355,C0030685,BE
C0030956,C0019629,BE
C0030956,C1749719,BE
C3824143,C1513372,BE
C3824143,C1513372,BE
C0024369,C0007634,BE
C0024369,C0014442,BE
C0391845,C0178735,BE
C0024369,C0031308,DEGRADE
C0024369,C0007634,DEGRADE
C0752063,C0007634,BE
C0752063,C0007367,BE
C0752063,C0027021,BE
C0752063,C0014442,BE
C1383501,C0025519,ROLE_IN
C1383501,C0597295,ROLE_IN
C0026237,C0542479,ROLE_IN
C0026237,C0162638,ROLE_IN
C0230779,C0033684,ROLE_IN
C0230789,C0033666,ROLE_IN
C0018042,C0033666,ROLE_IN
C0007610,C0040649,ROLE_IN
C0034850,C0599814,ROLE_IN
C0024369,C1523935,ROLE_IN
C0752063,C1158373,ROLE_IN
C0752063,C0699900,ROLE_IN
C0699900,C0020281,BE
C0333262,C0520510,BE
C0333262,C0520510,BE
C0010853,C0033684,BE
C0010853,C0007634,BE
C0010853,C0007634,BE
C0030013,C0026237,OCCUR_IN
C0030013,C0001480,BE
C0001480,C0007634,BE
C0026237,C0439879,BE_SOURCE_OF
C0026237,C0018966,BE
C0026237,C0007634,BE
C0007634,C0162638,ACTIVATE_BY
C0007634,C0162638,UPREGULATE
C0007595,C0424589,BE
C0007595,C5670644,BE
C0024501,C0424589,BE
C0024501,C5670644,BE
C0543484,C0024369,OCCUR_IN
C0007603,C1545588,BE
C0007603,C1624575,BE
C0007603,C0023779,BE
C0598629,C1706912,BE
C0014239,C0031676,BE_COMPOSED_OF
C0023779,C0007613,BE
C0031621,C0025255,LOCATE_IN
C0031621,C0033684,BE
C0031669,C0071655,BE
C0071655,C0043791,BE
C0071655,C2246331,BE
C0031623,C0205102,BE_LOCATED_ON
C0031623,C2825491,BE
C0162638,C0162638,BE
C0031623,C1710082,BE
C0031623,C1521761,BE
C0017950,C0521119,BE
C0037906,C0521119,BE
C0017950,C0007634,BE
C0017950,C0007634,BE
C0449432,C1167250,BE
C0025252,C1167250,ACCUMULATE
C0033684,C0037420,BE
C0033684,C1155494,BE
C0007603,C0033684,BE
C0007603,C0017968,BE
C0033684,C0870883,BE
C0033684,C0567416,BE
C0033684,C0007634,BE
C0021699,C0033684,BE
C0007603,C0031676,BE
C0007603,C0008377,BE
C0007603,C0033684,BE
C1959616,C1708664,LOCATE_IN
C0037906,C1708664,LOCATE_IN
C0031623,C1708664,LOCATE_IN
C0031618,C1708664,LOCATE_IN
C0017950,C0014239,LOCATE_IN
C0017950,C0007634,BE
C0008377,C1167250,BE
C0025252,C1333498,BE
C0025252,C0033684,BE
