START_ID,END_ID,TYPE
C0007603,C1545588,has_function
C0007603,C1624575,has_function
C0014239,C0220781,is_a
C0018042,C0220781,is_a
C0024369,C0034962,has_function
C0208355,C0034962,has_function
C0030664,C0008972,is_a
C0012634,C2612269,originates_at
C2699787,C1515926,arise_from
C0007634,C0012634,give_rise_to
C0086418,C0012854,contains
C0086418,C5557127,contains
C5557127,C0017428,comprise
C0033684,C0007634,are
C0033684,C0014442,function_as
C0033684,C4277569,function_as
C0033684,C1519315,function_as
C0017337,C1519595,produce
C1519595,C0597298,encode
C0086418,C0851285,has_function
C0521447,C0059882,organized_into
C0521447,C0019397,organized_into
C0059882,C0205177,is_a
C0019397,C0205254,is_a
C0008546,C0028584,is_connected_with
C0521447,C0040649,can_influence
C0242609,C0598175,regulates
C0085187,C0028630,are
C0085187,C0008545,cap
C0008546,C0028623,composed_of
C0028623,C0043250,composed_of
C0086860,C0040649,initiate
C0086222,C0017262,modulate
C0015295,C0033684,are_translated_into
C0017428,C0230467,provide
C1101610,C0017262,regulate
C3494264,C0017262,regulate
C0086418,C1257903,is_composed_of
C1257902,C1257903,is_a
C1257903,C0017263,implicated_in
C1257903,C1156187,implicated_in
C0085187,C0008633,are
C0007709,C0008633,are
C0042333,C0012634,associated_with
C0042333,C0017428,located_in
C0851285,C1314792,associated_with
C0752046,C0205419,is_a
C1511518,C0205419,is_a
C0752046,C5236477,is_a
C0752046,C0017428,located_in
C0752046,C0015295,located_in
C0752046,C0021920,located_in
C0752046,C0887859,located_in
C0752046,C0079941,located_in
C0242961,C0034987,located_in
C0242961,C0017262,alters
C0752046,C0012655,influences
C1420099,C0752046,is_a_type_of
C1420099,C0314627,has_no_effect_on
C1420099,C0031437,has_no_effect_on
C1420099,C0216162,coinherited_with
C0752046,C0314603,is_in_linkage_disequilibrium_with
C0752046,C0012655,has_weak_effect_on
C0009170,C0042333,is_a
C0009170,C0270814,consist_of
C0009170,C0027361,cause
C0009170,C0079941,involve
C0009170,C0086418,underlie
C1516924,C0017262,is_a
C0017262,C1515926,not_caused_by
C1518613,C0040649,regulates
C1518613,C0040712,regulates
C1518613,C0017262,influences
C3272453,C0028623,is_packed_into
C0028623,C0033684,are_comprised_of
C0033684,C0019652,consists_of
C0019652,C0012854,is_located_on
C0019652,C0008546,stabilizes
C1156199,C1819424,regulates
C1156200,C0008546,causes
C0019652,C0233656,causes
C0019652,C0598496,leads_to
C0012854,C0025723,can_be_modified_by
C0376452,C0162493,is_associated_with
C0441635,C0019652,wrapped_around
C0028623,C1517891,are_joined_by
C1325557,C0019397,has_form
C1325557,C0059882,has_form
C0019397,C0205254,is
C0059882,C0040649,is
C0059882,C0017262,permits
C0441889,C1326116,results_in
C0441889,C1621524,results_in
C0025831,C0376452,regulate
C0014442,C0376452,regulate
C0033684,C0376452,regulate
C0028589,C0028623,regulate
C0033666,C0028623,regulate
C1333030,C0028623,reposition
C0028623,C0034987,exposes
C0439855,C1156199,carry_out
C0014442,C0019652,accomplish
C0019652,C0162493,can_lead_to
C0019652,C1336789,can_lead_to
C0019652,C0008546,causes
C0019652,C0040649,increases
C0062773,C1156200,cause
C0019643,C1156200,reverse
C0019643,C1326116,leads_to
C0019652,C0008546,can_cause
C0019652,C0019397,can_cause
C0019652,C0040649,can_increase
C0019652,C0040649,can_decrease
C0008546,C1257775,reverse
C0008546,C0019652,bind
C0008546,C0017262,regulate
C0012634,C0026882,associated_with
C0017428,C0205183,causes
C0026882,C0227099,are_reversible
C1512474,C0006826,treats
C0243077,C0006826,treats
C1156200,C0026882,is_a
C0376452,C0026882,is_a
C1101610,C0887909,is_a
C3494264,C0887909,is_a
C1101610,C0035668,modulates
C1101610,C0017262,causes
C0040649,C1337054,produces
C1309483,C1337054,processes
C3272452,C1099355,associates_with
C1099355,C1158726,induces
C1099355,C0040712,represses
C1704972,C1521840,base_pairs_with
C1099354,C1309483,is_substrate_for
C1099354,C0439855,interacts_with
C0035668,C0017337,used_as_therapeutic_to
C0029016,C0007621,involved_in
C3494264,C0017262,modulates
C2982391,C0008546,binds_to
C2982391,C0035681,restricts_access_of
C1421536,C0043292,is_transcribed_from
C1421536,C0008633,causes
C1421536,C0598496,causes
C2825314,C1101610,are_transcribed_to_produce
C1101610,C1337053,is_processed_to_form
C1337053,C0007610,is_located_in
C1337053,C0007610,is_exported_from
C1309483,C0010834,is_located_in
C1309483,C1337053,trims
C1309483,C1704972,generates
C1704972,C1099355,are_incorporated_into
C3272452,C1521840,base_pairs_with
C1099355,C1521840,cleaves
C1099355,C1521840,represses_translation_of
C1101610,C0017337,silences
C3494264,C0040648,facilitate
C3494264,C0017337,promote
C2982391,C0040648,bind
C2982391,C0040649,prevent
C2982391,C1156199,directs
C2982391,C0392747,directs
C2982391,C0439855,act_as_scaffolding_for
C0439855,C0008546,influence
C0439855,C0017337,influence
C2982391,C0003850,associated_with
C2982391,C0006826,associated_with
C3658200,C0678209,provide
C0017337,C0678209,provide
C0678209,C0004651,is_a_defense_against
C0678209,C0032136,is_a_defense_against
C3658200,C0162327,are_transcribed_into
C0162327,C4704710,binds
C0162327,C4704710,directs
C4704710,C0004651,cleaves
C0010813,C0004651,leads_to
C0035668,C4704710,bind
C0082774,C4704710,directs
C4704710,C1511667,induces
C0205145,C0332453,can_lead_to
C1518406,C0205145,is_a_mechanism_for
C0599773,C0162326,is_a_mechanism_for
C0032136,C0082774,delivers
C0032136,C0014442,delivers
C3658200,C0035668,are_transcribed_into
C0242961,C4704710,bind_to
C0175816,C0012854,cleaves
C0017262,C1521840,leads_to
C1334043,C0012854,repairs
C1334043,C0332453,introduces
C0599773,C1721104,repairs
C0599773,C0162326,introduces
C0175816,C0314603,can_be_used_for
C0175816,C0026882,can_be_used_for
C0175816,C0017428,used_for
C0026882,C0006826,used_to_model
C0175816,C0017337,used_for
C0175816,C0012634,corrects
C0031843,C0007634,are_compartmentalized_within
C1185625,C0007634,allows_creation_of
C0033684,C0230779,are_synthesized_in
C0033684,C0018042,are_assembled_in
C0033684,C1179933,are_synthesized_on
C0230789,C0596715,is_site_of
C0230789,C1157478,is_site_of
C0230789,C0392747,is_site_of
C0007634,C0567416,catabolize
C0007634,C0033684,catabolize
C0007634,C0029219,catabolize
C0208355,C0033684,function
C0208355,C0030685,function
C0030956,C0019629,presented_by
C0030956,C1749719,helps_drive
C3824143,C1513372,can_trigger
C3824143,C1513372,can_shut_down
C0024369,C0007634,is_a
C0024369,C0014442,contain
C0391845,C0178735,digest
C0024369,C0031308,degrade
C0024369,C0007634,degrade
C0752063,C0007634,is_a
C0752063,C0007367,contain
C0752063,C0027021,contain
C0752063,C0014442,contain
C1383501,C0025519,has_role_in
C1383501,C0597295,has_role_in
C0026237,C0542479,has_role_in
C0026237,C0162638,has_role_in
C0230779,C0033684,has_role_in
C0230789,C0033666,has_role_in
C0018042,C0033666,has_role_in
C0007610,C0040649,has_role_in
C0034850,C0599814,has_role_in
C0024369,C1523935,has_role_in
C0752063,C1158373,has_role_in
C0752063,C0699900,has_role_in
C0699900,C0020281,generates
C0333262,C0520510,shuttle
C0333262,C0520510,direct
C0010853,C0033684,orchestrates
C0010853,C0007634,regulates
C0010853,C0007634,regulates
C0030013,C0026237,occurs_in
C0030013,C0001480,produces
C0001480,C0007634,powers
C0026237,C0439879,is_source_of
C0026237,C0018966,is_site_of_synthesis_of
C0026237,C0007634,contain
C0007634,C0162638,can_initiate
C0007634,C0162638,can_regulate
C0007595,C0424589,require
C0007595,C5670644,require
C0024501,C0424589,require
C0024501,C5670644,require
C0543484,C0024369,occurs_in
C0007603,C1545588,has_function
C0007603,C1624575,has_function
C0007603,C0023779,are
C0598629,C1706912,form
C0014239,C0031676,is_composed_of
C0023779,C0007613,is_important_in
C0031621,C0025255,located_on
C0031621,C0033684,serves_as
C0031669,C0071655,hydrolyzes
C0071655,C0043791,generates
C0071655,C2246331,generates
C0031623,C0205102,is_located_on
C0031623,C2825491,confers
C0162638,C0162638,is_a
C0031623,C1710082,becomes
C0031623,C1521761,serves_as
C0017950,C0521119,expressed_on
C0037906,C0521119,expressed_on
C0017950,C0007634,are_important_in
C0017950,C0007634,are_important_in
C0449432,C1167250,leads_to
C0025252,C1167250,accumulate_in
C0033684,C0037420,impact
C0033684,C1155494,impact
C0007603,C0033684,contains
C0007603,C0017968,contains
C0033684,C0870883,involved_in
C0033684,C0567416,involved_in
C0033684,C0007634,involved_in
C0021699,C0033684,is_a
C0007603,C0031676,composed_of
C0007603,C0008377,composed_of
C0007603,C0033684,composed_of
C1959616,C1708664,located_in
C0037906,C1708664,located_in
C0031623,C1708664,located_in
C0031618,C1708664,located_in
C0017950,C0014239,located_on
C0017950,C0007634,contribute_to
C0008377,C1167250,creates
C0025252,C1333498,associate_with
C0025252,C0033684,associate_with
C0021699,C0037083,translate
C0021699,C1446409,contain
C1446409,C0033684,anchor
C0033684,C0031676,anchored_to
