start_id,end_id,type
C0442805,C0000934,BE_TRIGGER_FOR
C0442805,C0178784,BE_CAUSE_OF
C0020564,C0442805,BE
C0020507,C0442805,BE
C0442805,C0007634,BE_COMPOSED_OF
C0442805,C0007634,BE_COMPOSED_OF
C0020564,C0017255,BE_COMPOSED_OF
C0020564,C0597295,BE_COMPOSED_OF
C0020564,C0178784,BE_COMPOSED_OF
C0020507,C0007634,BE_COMPOSED_OF
C0007634,C0038250,ARISE_BY
C0020507,C0020564,BE_OFTEN_ASSOCIATED_WITH
C0020564,C0020507,BE_OFTEN_ASSOCIATED_WITH
C0020507,C0042149,OCCUR_IN
C0020564,C0042149,OCCUR_IN
C0027061,C0040300,BE_TYPE
C0242692,C0040300,BE_TYPE
C0027740,C0040300,BE_TYPE
C0040300,C0020564,PROGRESS_TO
C0225828,C0020564,PROGRESS_TO
C0020538,C0020564,BE_TRIGGER_FOR
C0020507,C0334044,PROGRESS_TO
C0334044,C0006826,PROGRESS_TO
C0014173,C0020507,BE_TYPE
C0392756,C0178784,BE_CAUSE_OF
C0178784,C0333641,BE
C0392756,C0178784,BE_CAUSE_OF
C0041618,C0178784,BE_CAUSE_OF
C0392756,C0178784,BE_CAUSE_OF
C0333641,C0392756,ARISE_BY
C0392756,C0162638,ARISE_BY
C0392756,C0010853,ARISE_BY
C0392756,C0004391,ARISE_BY
C0208355,C0010853,DEGRADE
C0004391,C0544966,FEATURE_OF
C0030940,C1166607,DEGRADE
C0178784,C0025568,BE_CAUSE_OF
C0025568,C0392747,BE
C1182670,C1182809,BE_TYPE
C1182672,C1182809,BE_TYPE
C0227599,C1182809,BE_TYPE
C0334023,C0038435,PROTECT_FROM
C0014876,C0836137,BE_COMPOSED_OF
C0017168,C0025568,BE_CAUSE_OF
C0025568,C1182672,TURN_INTO
C0025568,C3850096,ARISE_BY
C0038250,C0007634,BE_SOURCE_OF
C0004763,C0039798,TREATMENT_IS
C0025568,C0334044,PROGRESS_TO
C0334044,C0006826,PROGRESS_TO
C0004763,C0014876,PROGRESS_TO
C0042842,C0025568,BE_CAUSE_OF
C0042839,C0007589,BE_NEEDED_FOR
C0009758,C0015392,BE_LOCATED_ON
C0042842,C0025568,BE_CAUSE_OF
C1182670,C0836137,TURN_INTO
C0392747,C0152455,REFER_TO_AS
C0009780,C0005931,TURN_INTO
C0007868,C0334044,BE
C0007868,C0007847,PRECURSOR_OF
C0014173,C0020507,BE_TYPE
C0004763,C0025568,BE_TYPE
C0038435,C0334044,HAVE_EFFECT_ON
C0334044,C0007097,PROGRESS_TO
C0025568,C0033268,BE
C0205092,C0025568,BE_TYPE
C0243069,C0392756,BE
C0392756,C0013936,OCCUR_IN
C0266371,C0041408,BE_SEEN_IN
C0038435,C0151763,BE_TRIGGER_FOR
C0033204,C0038435,DEPEND_ON
C0033204,C0439793,DEPEND_ON
C0033204,C0392760,DEPEND_ON
C0027882,C0441713,SUSCEPTIBLE_TO
C0439834,C0333641,BE_CAUSE_OF
C0001363,C3263722,BE_CAUSE_OF
C0021368,C0151763,BE_COMMON_CAUSES_OF
C0162429,C0151763,BE_COMMON_CAUSES_OF
C0242184,C0151763,BE_COMMON_CAUSES_OF
C0043251,C0151763,BE_COMMON_CAUSES_OF
C0026882,C0151763,BE_COMMON_CAUSES_OF
C0429622,C0151763,BE_CAUSE_OF
C0030054,C2244392,ROLE_IN
C0030054,C0030013,ROLE_IN
C0392756,C0030013,HAVE_EFFECT_ON
C0030013,C0392756,LEAD_TO_EMERGENCE_OF
C0001480,C0151763,BE_CAUSE_OF
C0022116,C0242184,BE_CAUSE_OF
C0700292,C0242184,BE_CAUSE_OF
C0392756,C0242184,BE_CAUSE_OF
C0022116,C0178784,BE
C0003850,C0392756,BE_CAUSE_OF
C0019154,C0392756,BE_TYPE
C0700292,C0030054,BE
C3887486,C0012222,BE_TYPE
C0012222,C0012222,BE_CAUSE_OF
C1881865,C0848724,BE_A_CONDITION
C1881865,C0035203,BE_A_CONDITION
C0428871,C0848724,BE_A_CONDITION
C0004144,C0035203,BE_A_CONDITION
C0392756,C0008721,ARISE_BY
C0392756,C0008721,ARISE_BY
C0008721,C0007018,RECEPTOR_FOR
C0007018,C0392756,BE_CAUSE_OF
C0037366,C0392756,BE_CAUSE_OF
C0178629,C0392756,BE_CAUSE_OF
C0439858,C0233426,BE
C1279919,C0018681,BE
C0274281,C0009421,LEAD_TO_EMERGENCE_OF
C0274281,C0011065,LEAD_TO_EMERGENCE_OF
C0025637,C0085403,BE_SEEN_IN
C0025637,C0021289,BE_SEEN_IN
C0439858,C0005767,BE
C0039798,C0025746,BE
C0242184,C0205216,BE_CAUSE_OF
C0001480,C0007613,HAVE_EFFECT_ON
C0182537,C0037473,BE_CAUSE_OF
C0037473,C0009170,LOCATE_IN
C0666743,C0666743,BE_CAUSE_OF
C0666743,C1383501,LOCATE_IN
C2986569,C0205251,BE_CAUSE_OF
C0205251,C0033684,HAVE_EFFECT_ON
C0205251,C0012854,HAVE_EFFECT_ON
C0013604,C0205343,BE_EVIDENCE_OF
C0013604,C1517945,LEAD_TO_EMERGENCE_OF
C0013604,C4235040,LEAD_TO_EMERGENCE_OF
C0013604,C0086168,LEAD_TO_EMERGENCE_OF
C0013604,C0392756,LEAD_TO_EMERGENCE_OF
C0205343,C0010957,BE_EVIDENCE_OF
C0007603,C1383501,BE_CAUSE_OF
C1096316,C1383501,BE_TYPE
C0007603,C0006675,BE_CAUSE_OF
C1096176,C2244392,BE_CAUSE_OF
C2244392,C0230840,BE_LOCATED_ON
C1096176,C1383501,BE_CAUSE_OF
C1383501,C0162638,BE_TRIGGER_FOR
C0230812,C0030940,BE_CAUSE_OF
C0030940,C0006675,ACTIVATE_BY
C0205343,C0007587,LEAD_TO_EMERGENCE_OF
C1522058,C0022646,BE_DISEASE_OF
C0022646,C4551596,HAVE_HISTOLOGY
C0007587,C1517945,BE
C1517945,C1155631,ARISE_BY
C1517945,C0332472,ARISE_BY
C1517945,C4721411,ARISE_BY
C0027540,C0007587,BE
C0162638,C0007587,BE
C0333361,C0007634,FEATURE_OF
C0027540,C0449774,HAVE_HISTOLOGY
C0027540,C0205233,BE
C0005778,C0007634,HAVE_EFFECT_ON
C0005778,C0229983,HAVE_EFFECT_ON
C2749591,C0178784,FEATURE_OF
C0021308,C0005767,ARISE_BY
C0021308,C0178784,OCCUR_IN
C0034074,C0021308,BE_TYPE
C0392041,C0021308,BE_TYPE
C0007634,C0487112,BE_CAUSE_OF
C0206116,C0006104,DEGRADE
C0027950,C0040300,DEGRADE
C0030274,C0933845,DEGRADE
C0333536,C1522058,BE
C0040300,C0333509,LEAD_TO_EMERGENCE_OF
C0333537,C0333509,BE
C0027540,C0205358,MANIFEST_AS
C0027540,C0233426,MANIFEST_AS
C0553697,C0041296,ARISE_BY
C0553697,C0026946,ARISE_BY
C0333512,C0024109,LOCATE_IN
C0333549,C0039597,LOCATE_IN
C0040300,C0233426,MANIFEST_AS
C0233426,C0006675,ARISE_BY
C0043251,C0006141,LOCATE_IN
C0010957,C3686617,MAY_AFFECT
